,pinyin,unicode
32,SANG1,"['\\u4E27', '\\u55AA', '\\u6851', '\\u6852']"
33,GUN3,"['\\u4E28', '\\u638D', '\\u6EDA', '\\u6EFE', '\\u78D9', '\\u7DC4', '\\u7EF2', '\\u84D8', '\\u8509', '\\u886E', '\\u889E', '\\u88AC', '\\u8F25', '\\u8F8A', '\\u9B8C', '\\u9BC0', '\\u9CA7']"
34,JIU1,"['\\u4E29', '\\u52FC', '\\u557E', '\\u63C2', '\\u63EA', '\\u63EB', '\\u673B', '\\u6A1B', '\\u725E', '\\u7A76', '\\u7CFA', '\\u7CFE', '\\u7EA0', '\\u841B', '\\u89D3', '\\u8F47', '\\u9194', '\\u9604', '\\u9B0F', '\\u9B2E', '\\u9CE9', '\\u9E20']"
35,GE4,"['\\u4E2A', '\\u500B', '\\u5404', '\\u55F0', '\\u7B87', '\\u867C', '\\u927B', '\\u94EC']"
36,YA1,"['\\u4E2B', '\\u529C', '\\u538B', '\\u5440', '\\u5727', '\\u58D3', '\\u5B72', '\\u5E98', '\\u62BC', '\\u690F', '\\u9D09', '\\u9D28', '\\u9D76', '\\u9E26', '\\u9E2D']"
37,QIANG2,"['\\u4E2C', '\\u5899', '\\u58BB', '\\u5AF1', '\\u5B19', '\\u5EE7', '\\u5F37', '\\u5F3A', '\\u5F4A', '\\u6A2F', '\\u6AA3', '\\u6F12', '\\u723F', '\\u7246', '\\u8537', '\\u8594', '\\u8620', '\\u8ED6']"
38,ZHONG1,"['\\u4E2D', '\\u4F00', '\\u5223', '\\u5990', '\\u5E52', '\\u5F78', '\\u5FE0', '\\u5FEA', '\\u67CA', '\\u6C77', '\\u6CC8', '\\u6F68', '\\u7082', '\\u7144', '\\u76C5', '\\u7C66', '\\u7D42', '\\u7EC8', '\\u822F', '\\u8520', '\\u87BD', '\\u8873', '\\u8877', '\\u8E71', '\\u9221', '\\u92BF', '\\u937E', '\\u9418', '\\u949F', '\\u953A', '\\u9D24']"
39,JI3,"['\\u4E2E', '\\u5980', '\\u5DF1', '\\u5E7E', '\\u621F', '\\u6324', '\\u638E', '\\u64A0', '\\u64E0', '\\u6CF2', '\\u72B1', '\\u7398', '\\u7A56', '\\u87E3', '\\u8E26', '\\u9218', '\\u9B55', '\\u9B62', '\\u9C7E', '\\u9E82']"
40,JIE4,"['\\u4E2F', '\\u4ECB', '\\u501F', '\\u5424', '\\u5536', '\\u583A', '\\u5C46', '\\u5C4A', '\\u5C95', '\\u5E8E', '\\u5FA3', '\\u6088', '\\u6212', '\\u6950', '\\u7297', '\\u73A0', '\\u743E', '\\u754C', '\\u754D', '\\u75A5', '\\u780E', '\\u7D12', '\\u7E72', '\\u8265', '\\u82A5', '\\u85C9', '\\u86A7', '\\u892F', '\\u8AA1', '\\u8BEB', '\\u8EA4', '\\u9385', '\\u9B40', '\\u9B6A']"
41,FENG1,"['\\u4E30', '\\u4EF9', '\\u5051', '\\u50FC', '\\u51E8', '\\u51EC', '\\u51EE', '\\u583C', '\\u59A6', '\\u5BF7', '\\u5C01', '\\u5CEF', '\\u5CF0', '\\u5D36', '\\u6340', '\\u67AB', '\\u687B', '\\u6953', '\\u6A92', '\\u6CA3', '\\u7043', '\\u70FD', '\\u71A2', '\\u728E', '\\u7326', '\\u75AF', '\\u760B', '\\u76FD', '\\u781C', '\\u78B8', '\\u7BC8', '\\u8391', '\\u8451', '\\u8634', '\\u8702', '\\u882D', '\\u8BBD', '\\u8C50', '\\u9137', '\\u9146', '\\u92D2', '\\u93E0', '\\u950B', '\\u974A', '\\u98A8', '\\u98CC', '\\u98CE', '\\u9EB7']"
