,词语,数量
1284,坏,49
1285,名儿,49
1286,赶忙,49
1287,受用,49
1288,景,49
1289,慌,49
1290,混账,49
1291,二哥,49
1292,塌,49
1293,听听,49
1294,娘娘,49
1295,尤二姐,49
1296,借,48
1297,石,48
1298,看来,48
1299,惯,48
1300,遇,48
1301,勉强,48
1302,惟有,48
1303,国府,48
1304,不错,48
1305,体面,48
1306,大红,48
1307,牌,48
1308,教,48
1309,睛,48
1310,文章,48
1311,三日,48
1312,从前,48
1313,方儿,48
1314,一首,48
1315,羞,48
1316,姑奶奶,48
1317,嘻嘻,48
1318,送去,48
1319,了事,48
1320,究竟,48
1321,使不得,48
1322,背地,48
1323,王爷,48
1324,往前,48
1325,玉钏儿,48
1326,罪,47
1327,来到,47
1328,道人,47
1329,青,47
1330,两边,47
1331,客,47
1332,以为,47
1333,五十,47
1334,床,47
1335,绿,47
1336,寒,47
1337,仔细,47
1338,别处,47
1339,房内,47
1340,锦,47
1341,榻,47
1342,共,47
1343,轻,47
1344,自有,47
1345,或是,47
1346,说明,47
1347,海棠,47
1348,经,47
1349,老子,47
1350,盖,47
1351,犯,47
1352,彩,47
1353,送到,47
1354,磕,47
1355,赌气,47
1356,更加,47
1357,无事,47
1358,口里,47
1359,喝酒,47
1360,三姑,47
1361,之后,46
1362,之时,46
1363,恩,46
1364,醉,46
1365,只因,46
1366,惟,46
1367,袄,46
1368,公,46
1369,立刻,46
1370,各色,46
1371,除了,46
1372,打死,46
1373,妹子,46
1374,撞,46
1375,夏,46
1376,逛逛,46
1377,点子,46
1378,从小儿,46
1379,一头,46
1380,问问,46
1381,小孩,46
1382,二百,46
1383,无可,45
1384,族,45
1385,庙,45
1386,此事,45
1387,脱,45
1388,口内,45
1389,纱,45
1390,歇息,45
1391,深,45
1392,那样,45
1393,来往,45
1394,模样,45
1395,指,45
1396,外间,45
1397,数,45
1398,金钏儿,45
1399,侍书,45
1400,雯,45
1401,睡下,45
1402,不好意思,45
1403,翠缕,45
1404,使唤,45
1405,扇子,45
1406,社,45
1407,日后,44
1408,痴,44
1409,门外,44
1410,甄,44
1411,舍,44
1412,飞,44
1413,彼此,44
1414,特,44
1415,不妨,44
1416,两件,44
1417,世,44
1418,不同,44
1419,误,44
1420,戴,44
1421,微微,44
1422,认真,44
1423,软,44
1424,恍惚,44
1425,走出,44
1426,拿起,44
1427,打开,44
1428,齐,44
1429,天气,44
1430,藏,44
1431,师父,44
1432,折,44
1433,真的,44
1434,闹出,44
1435,那婆子,44
1436,急忙,44
1437,前头,44
1438,何事,43
1439,反倒,43
1440,论,43
1441,火,43
1442,无话,43
1443,古人,43
1444,弟兄,43
1445,取笑,43
1446,角门,43
1447,上房,43
1448,妆,43
1449,招,43
1450,告辞,43
1451,玩笑,43
1452,一大,43
1453,每人,43
1454,京,43
1455,那宝玉,43
1456,细细的,43
1457,婶子,43
1458,大姐,43
1459,惦记,43
1460,吃了饭,43
1461,背地里,43
1462,再者,43
