,词语,数量
21933,会社,1
21934,画绢,1
21935,碰钉,1
21936,碰钉子,1
21937,三十岁,1
21938,娘胎,1
21939,胞,1
21940,三辈,1
21941,三辈子,1
21942,挣出,1
21943,正根,1
21944,忍饥挨饿,1
21945,秧子,1
21946,今乐,1
21947,县官,1
21948,尽忠,1
21949,尽忠报国,1
21950,报国,1
21951,新官,1
21952,财势,1
21953,窝子,1
21954,陈谷子,1
21955,陈谷子烂,1
21956,陈谷子烂芝麻,1
21957,芝麻,1
21958,辉光,1
21959,小幺儿,1
21960,画具,1
21961,帮忙,1
21962,排遣,1
21963,人体,1
21964,娇弱,1
21965,高手,1
21966,死生有命,1
21967,富贵在天,1
21968,贵在,1
21969,强求,1
21970,平肝,1
21971,养胃,1
21972,无病,1
21973,养人,1
21974,冰糖,1
21975,锅子,1
21976,滋阴,1
21977,放过,1
21978,自误,1
21979,熬药,1
21980,出新,1
21981,虎视,1
21982,眈,1
21983,不知进退,1
21984,进退,1
21985,一草一木,1
21986,同病相怜,1
21987,相怜,1
21988,惊师动众,1
21989,稀粥,1
21990,霖,1
21991,阴晴不定,1
21992,黄昏时候,1
21993,雨滴,1
21994,闺怨,1
21995,发于,1
21996,春江,1
21997,春江花,1
21998,春江花月夜,1
21999,花月夜,1
22000,秋凉,1
22001,爇,1
22002,檠,1
22003,无雨,1
22004,不奈,1
22005,秋雨,1
22006,滴沥,1
22007,几时休,1
22008,箬笠,1
22009,抹子,1
22010,花鞋,1
22011,草编,1
22012,猥,1
22013,闲常,1
22014,顶子,1
22015,渔婆,1
22016,记熟,1
22017,金表,1
22018,发紧,1
22019,绣球,1
22020,剖腹藏珠,1
22021,雪花,1
22022,该会,1
22023,冒雨,1
22024,避避,1
22025,打伞,1
22026,后移,1
22027,淅沥,1
22028,尴尬事,1
22029,讨去,1
22030,别碰,1
22031,鼻子眼儿,1
22032,一大群,1
22033,大群,1
22034,先派,1
22035,财货,1
22036,浪费,1
22037,不靠,1
22038,左性子,1
22039,一下子打,1
22040,带开,1
22041,巴高望上,1
22042,拿腔作势,1
22043,作势,1
22044,太晚,1
22045,后屋,1
22046,藕色,1
22047,水绿,1
22048,蜂腰削背,1
22049,高高的,1
22050,瘢,1
22051,不早不晚,1
22052,不晚,1
22053,弄鬼掉猴,1
22054,称心,1
22055,逍,1
22056,串通,1
22057,串通一气,1
22058,枫树,1
22059,牙碜,1
22060,平头正脸,1
22061,天底,1
22062,天底下,1
22063,六国,1
22064,眼热,1
22065,没分,1
22066,藏藏躲躲,1
22067,伏在石,1
22068,上装,1
22069,翔,1
22070,浆洗,1
22071,洗上,1
22072,痰迷心窍,1
22073,心窍,1
22074,回心转意,1
22075,转意,1
22076,回声,1
22077,外聘,1
22078,剪下,1
22079,暗地,1
22080,暗地里,1
22081,好辩,1
22082,正用,1
22083,小儿子,1
22084,这辈子,1
22085,郎君,1
22086,敢出去,1
22087,三从四德,1
22088,四德,1
22089,耙,1
22090,半件,1
22091,大大小小,1
22092,一万八,1
22093,一万八千,1
22094,万八千,1
22095,亲亲,1
22096,亲亲的,1
22097,小鬼头,1
22098,埋伏,1
22099,十成,1
22100,发牌,1
22101,发错,1
22102,正数,1
22103,数着,1
22104,交运,1
22105,宗气,1
22106,快撕,1
22107,放轻,1
22108,伸头,1
22109,做神做鬼,1
22110,做鬼,1
22111,探子,1
22112,五十四,1
22113,五十四年,1
22114,十四年,1
22115,大险,1
22116,含愧,1
22117,购,1
22118,眼到,1
22119,石林,1
22120,林木,1
22121,作陪,1
22122,念念不忘,1
22123,月子,1
22124,相交,1
22125,盖住,1
22126,说东说西,1
22127,侠,1
22128,细事,1
22129,好耍,1
22130,枪,1
22131,舞剑,1
22132,眠花卧柳,1
22133,弹筝,1
22134,一类,1
22135,赖大之,1
22136,交好,1
22137,开完,1
22138,冲坏,1
22139,能行,1
22140,十月初,1
22141,一贫,1
22142,一贫如洗,1
22143,各尽其,1
22144,游逛,1
22145,真远,1
22146,拳打,1
22147,心痒难挠,1
22148,侍人,1
22149,处在,1
22150,跨马,1
22151,拨浪鼓,1
22152,浪鼓,1
22153,远处,1
22154,人烟稀少,1
22155,圈马,1
22156,苇塘,1
22157,变心,1
22158,镗,1
22159,铁锤,1
22160,脚尖,1
22161,尖点,1
22162,胫,1
22163,三四十下,1
22164,四十下,1
22165,左腿,1
22166,泞,1
22167,拳头,1
22168,滚乱,1
22169,两拳,1
22170,俯头,1
22171,咽下,1
22172,咽下去,1
22173,敢找,1
22174,下桥,1
22175,多路,1
22176,没头没脸,1
22177,调到,1
22178,龙王爷,1
22179,爱上你,1
22180,犄角,1
22181,钻进去,1
22182,关厢,1
22183,归家,1
22184,伤筋动骨,1
22185,认罪,1
22186,兴师,1
22187,兴师动众,1
22188,天纵,1
22189,滥情,1
22190,游艺,1
22191,慕雅女,1
22192,雅集,1
22193,关税,1
22194,不文,1
22195,武不武,1
22196,土风,1
22197,内主,1
22198,气平,1
22199,外生,1
22200,不知世务,1
22201,行情,1
22202,自然色,1
22203,顺利,1
22204,年关,1
22205,名正言顺,1
22206,倚仗,1
22207,千言,1
22208,千言万语,1
22209,苍头,1
22210,三辆,1
22211,铁青,1
22212,外备,1
22213,劝戒,1
22214,必备,1
22215,收贮,1
22216,越多,1
22217,多个,1
22218,缓一缓,1
22219,起因,1
22220,拜拜,1
22221,搜求,1
22222,棕竹,1
22223,麋鹿,1
22224,真迹,1
22225,所欠,1
22226,变卖家产,1
22227,卖家,1
22228,官价,1
22229,倾家败产,1
22230,拉倒,1
22231,拜我为师,1
22232,大略,1
22233,拜你为师,1
22234,平声,1
22235,仄声,1
22236,平仄,1
22237,虚实,1
22238,一两首,1
22239,一三,1
22240,一三五,1
22241,四六分,1
22242,六分,1
22243,上错,1
22244,连词,1
22245,留香,1
22246,格局,1
22247,再读,1
22248,二十首,1
22249,青莲,1
22250,句读,1
22251,一二百首,1
22252,二百首,1
22253,庾,1
22254,一首一首,1
22255,随地,1
22256,笑吟吟,1
22257,圈选,1
22258,尽读,1
22259,逼真,1
22260,塞上,1
22261,大漠,1
22262,长河,1
22263,日圆,1
22264,几千斤,1
22265,挽住,1
22266,连云,1
22267,会心,1
22268,三昧,1
22269,叹赏,1
22270,化出,1
22271,柬,1
22272,真成了,1
22273,自暴自弃,1
22274,叹服,1
22275,爱用,1
22276,苦思,1
22277,两句诗,1
22278,月桂,1
22279,桂中,1
22280,中天,1
22281,夜色,1
22282,外挂,1
22283,银烛,1
22284,缚住,1
22285,嘟嘟哝哝,1
22286,嘟哝,1
22287,地灵人杰,1
22288,人杰,1
22289,柒,1
22290,耳不旁听,1
22291,目不别视,1
22292,诲人不倦,1
22293,缯,1
22294,志学,1
22295,精血,1
22296,八句,1
22297,正告,1
22298,白雪,1
22299,白雪红梅,1
22300,娃,1
22301,半轮,1
22302,江上,1
22303,楼头,1
22304,自问,1
22305,天下无难事,1
22306,只怕有心人,1
22307,先上去,1
22308,搭帮,1
22309,泊船,1
22310,之蛙,1
22311,本地风光,1
22312,赛似,1
22313,四根,1
22314,鬼使神差,1
22315,可学,1
22316,自谦,1
22317,干女儿,1
22318,不遂意,1
22319,性行,1
22320,性行为,1
22321,家贫,1
22322,大员,1
22323,六七岁,1
22324,守本分,1
22325,袋子,1
22326,沉郁,1
22327,韦,1
22328,淡雅,1
22329,毛织,1
22330,自嘲,1
22331,再审,1
22332,审度,1
22333,轻心,1
22334,出类拔萃,1
22335,拔萃,1
22336,遮拦,1
22337,了案,1
22338,酸痛,1
22339,双环,1
22340,四合,1
22341,踏雪,1
22342,羽毛缎,1
22343,大褂,1
22344,黄片,1
22345,骚,1
22346,鞑子,1
22347,领袖,1
22348,窄小,1
22349,小袖,1
22350,衿,1
22351,短短,1
22352,短短的,1
22353,摺子,1
22354,蝴蝶结,1
22355,鹿皮,1
22356,蜂腰猿背,1
22357,鹤势螂形,1
22358,扮成,1
22359,五六两,1
22360,上光,1
22361,光辉夺目,1
22362,玻璃窗,1
22363,搓,1
22364,小鹰,1
22365,膀,1
22366,登上,1
22367,十数枝,1
22368,外显,1
22369,腰板,1
22370,扫雪,1
22371,水河,1
22372,河滩,1
22373,篱竹,1
22374,垂钓,1
22375,牛乳,1
22376,见天日,1
22377,拉完,1
22378,净清,1
22379,生肉,1
22380,铁炉,1
22381,铁叉,1
22382,铁丝,1
22383,三块,1
22384,消化,1
22385,真名,1
22386,锦心绣口,1
22387,摁,1
22388,右前,1
22389,摆齐,1
22390,未列,1
22391,琼瑶,1
22392,价高,1
22393,高村,1
22394,稔,1
22395,杓,1
22396,浦,1
22397,聊聊,1
22398,坤,1
22399,阵云,1
22400,棹,1
22401,灞桥,1
22402,扬眉,1
22403,徭,1
22404,坳,1
22405,垤,1
22406,枝柯,1
22407,皑皑,1
22408,孤松,1
22409,印迹,1
22410,樵,1
22411,伏象,1
22412,千峰,1
22413,凋,1
22414,深院,1
22415,随上,1
22416,池水,1
22417,浮漂,1
22418,临清,1
22419,九重,1
22420,僵卧,1
22421,游客,1
22422,箪,1
22423,容情,1
22424,石楼,1
22425,标,1
22426,翘,1
22427,潇潇,1
22428,下联,1
22429,舜尧,1
22430,逐句,1
22431,冒雪,1
22432,耸肩,1
22433,水准,1
22434,屈才,1
22435,欣欣,1
22436,插入,1
22437,瓶内,1
22438,蓑笠,1
22439,芋头,1
22440,橙,1
22441,二尺,1
22442,二三尺,1
22443,小枝,1
22444,分歧,1
22445,蚓,1
22446,如林,1
22447,岭,1
22448,难辨,1
22449,未通,1
22450,绿萼,1
22451,虹,1
22452,醉心,1
22453,丹药,1
22454,偷下,1
22455,北江,1
22456,江南春,1
22457,枝条,1
22458,闲庭,1
22459,游仙,1
22460,着称,1
22461,绝不,1
22462,樽,1
22463,离尘,1
22464,紫云,1
22465,潮湿,1
22466,费工,1
22467,费工夫,1
22468,穿入,1
22469,过街,1
22470,门楼,1
22471,暖气,1
22472,羯,1
22473,躲债,1
22474,债主,1
22475,仇十洲,1
22476,发花,1
22477,天园,1
22478,二十五两,1
22479,实惠,1
22480,爬上来,1
22481,受屈,1
22482,内景,1
22483,未说明,1
22484,半吐半露,1
22485,四山五岳,1
22486,第二年,1
22487,一会方,1
22488,止于,1
22489,止于至善,1
22490,一池,1
22491,壑,1
22492,半日道,1
22493,剁,1
22494,梵,1
22495,铃声,1
22496,鸾音鹤信,1
22497,凝睇,1
22498,唏嘘,1
22499,上苍,1
22500,堑,1
22501,立名,1
22502,欲念,1
22503,薛小妹,1
22504,新编,1
22505,胡庸医,1
22506,庸医,1
22507,所经,1
22508,省内,1
22509,徒留,1
22510,留名,1
22511,悲风,1
22512,英魂,1
22513,交趾,1
22514,铜柱,1
22515,金城,1
22516,纪纲,1
22517,海外,1
22518,戎,1
22519,羌,1
22520,铁笛,1
22521,钟山,1
22522,凡尘,1
22523,大抵,1
22524,难休,1
22525,淮阴,1
22526,壮士,1
22527,恶犬,1
22528,盖棺,1
22529,广陵,1
22530,噪,1
22531,风景,1
22532,总分,1
22533,少许,1
22534,小照,1
22535,悬壁,1
22536,青冢,1
22537,黑水,1
22538,樗,1
22539,栎,1
22540,万古,1
22541,嵬,1
22542,东寺,1
22543,一身轻,1
22544,吊起,1
22545,八首,1
22546,矫揉造作,1
22547,好事者,1
22548,身事,1
22549,前为,1
22550,凿出,1
22551,凿出来,1
22552,名望,1
22553,这两首,1
22554,人人皆知,1
22555,词曲,1
22556,冬日,1
22557,酌量,1
22558,小车,1
22559,穿去,1
22560,大手大脚,1
22561,赔垫,1
22562,天马,1
22563,马皮,1
22564,来件,1
22565,红衣,1
22566,红衣裳,1
22567,拱肩缩背,1
22568,早上,1
22569,时果,1
22570,汤婆子,1
22571,汤壶,1
22572,阁外,1
22573,死尸,1
22574,哈什,1
22575,颏,1
22576,茶桶,1
22577,畏寒,1
22578,月光如水,1
22579,毛骨悚然,1
22580,声门,1
22581,锹,1
22582,熟炭,1
22583,嬷,1
22584,瘟病,1
22585,头疼脑热,1
22586,罗嗦,1
22587,紫苏,1
22588,桔梗,1
22589,防风,1
22590,荆芥,1
22591,权实,1
22592,治法,1
22593,四节,1
22594,内放,1
22595,穷小子,1
22596,夹剪,1
22597,白芍,1
22598,停滞,1
22599,石膏,1
22600,经得起,1
22601,大杨树,1
22602,枝叶茂盛,1
22603,子叶,1
22604,孔夫子,1
22605,高人逸士,1
22606,如以,1
22607,刮风,1
22608,弄饭,1
22609,新鲜菜,1
22610,鲜菜,1
22611,獐,1
22612,狍,1
22613,平儿情,1
22614,小孙子,1
22615,想得到,1
22616,一千岁,1
22617,烫手,1
22618,伸进,1
22619,下潜,1
22620,访查,1
22621,争胜,1
22622,后防,1
22623,眼浅,1
22624,蛾眉,1
22625,凤眼,1
22626,一喊出,1
22627,另加,1
22628,汤剂,1
22629,鼻烟,1
22630,痛打,1
22631,赤身,1
22632,两肋,1
22633,洋烟,1
22634,酸辣,1
22635,透入,1
22636,连打,1
22637,辣,1
22638,洋药,1
22639,半节,1
22640,摊,1
22641,大显,1
22642,叙家常,1
22643,迟来,1
22644,攒三聚五,1
22645,单瓣,1
22646,太极图,1
22647,易经,1
22648,西海,1
22649,西洋画,1
22650,黄头发,1
22651,猫儿眼,1
22652,祖母绿,1
22653,丝织,1
22654,大失所望,1
22655,带上来,1
22656,别念,1
22657,疯子,1
22658,岛,1
22659,岚,1
22660,丛林,1
22661,缘自,1
22662,汉南,1
22663,下台,1
22664,下台阶,1
22665,迈步,1
22666,夜咳,1
22667,火箱,1
22668,身披,1
22669,阴阴的,1
22670,红枣汤,1
22671,小碟,1
22672,法制,1
22673,天阴,1
22674,氅衣,1
22675,小妹妹,1
22676,雕鞍,1
22677,紧贴,1
22678,马上笑,1
22679,大忙,1
22680,马夫,1
22681,病退,1
22682,如山倒,1
22683,抽丝,1
22684,仙丹,1
22685,灵药,1
22686,青来,1
22687,偷嘴,1
22688,眼皮子,1
22689,叫名,1
22690,挑水,1
22691,百遍,1
22692,认不清,1
22693,说走就走,1
22694,后襟,1
22695,偏头,1
22696,杯口,1
22697,绷,1
22698,破口,1
22699,四边,1
22700,金刀,1
22701,歇一会,1
22702,上半夜,1
22703,抠搂,1
22704,牙刷,1
22705,剔出,1
22706,绒毛,1
22707,身不由主,1
22708,除夕,1
22709,力尽,1
22710,力尽神危,1
22711,微缩,1
22712,缩起,1
22713,缩起来,1
22714,诸药,1
22715,养血,1
22716,各个,1
22717,饥饱,1
22718,炊,1
22719,自能,1
22720,火眼,1
22721,大司马,1
22722,军机,1
22723,参赞,1
22724,朝政,1
22725,真影,1
22726,碎金,1
22727,一百五十三,1
22728,三两六,1
22729,二百二,1
22730,交进,1
22731,沾恩,1
22732,皇恩浩荡,1
22733,多日不见,1
22734,永锡,1
22735,祭司,1
22736,印记,1
22737,讫,1
22738,花押,1
22739,黑山,1
22740,山村,1
22741,新春,1
22742,万事如意,1
22743,文法,1
22744,三十只,1
22745,狍子,1
22746,暹,1
22747,野猪,1
22748,青羊,1
22749,鲟,1
22750,鳇鱼,1
22751,二百个,1
22752,杂鱼,1
22753,活鸡,1
22754,野猫,1
22755,二百对,1
22756,百对,1
22757,熊掌,1
22758,海参,1
22759,五十斤,1
22760,牛舌,1
22761,蛏干,1
22762,大对虾,1
22763,对虾,1
22764,选用,1
22765,一千斤,1
22766,二千斤,1
22767,三万斤,1
22768,万斤,1
22769,二担,1
22770,外卖,1
22771,二千五百,1
22772,二千五百两,1
22773,外门,1
22774,白兔,1
22775,四五尺,1
22776,五六日,1
22777,雹子,1
22778,二三百里,1
22779,旱潦,1
22780,一百多,1
22781,八处,1
22782,外项,1
22783,多花钱,1
22784,子产,1
22785,一千多,1
22786,千多两,1
22787,赔出,1
22788,庄客,1
22789,柏木,1
22790,木作,1
22791,磐,1
22792,去路,1
22793,赔得,1
22794,留出,1
22795,石阶,1
22796,份,1
22797,例外,1
22798,称霸,1
22799,匪类,1
22800,换回,1
22801,撵走,1
22802,桃符,1
22803,内厅,1
22804,封诰,1
22805,前排,1
22806,栏内,1
22807,晋爵,1
22808,保育,1
22809,名贯,1
22810,百代,1
22811,王太傅,1
22812,苍松翠柏,1
22813,金匾,1
22814,辅弼,1
22815,勋业,1
22816,无间,1
22817,慎终追远,1
22818,追远,1
22819,幛,1
22820,昭穆,1
22821,陪祭,1
22822,锦帐,1
22823,道菜,1
22824,直传,1
22825,东向,1
22826,之首,1
22827,草头,1
22828,金铃,1
22829,摇曳,1
22830,飒,1
22831,铺满,1
22832,象鼻,1
22833,流金,1
22834,两三位,1
22835,头排,1
22836,老祖母,1
22837,直开,1
22838,随同,1
22839,地火,1
22840,挽手,1
22841,交椅,1
22842,包金,1
22843,欢宴,1
22844,屠苏,1
22845,屠苏酒,1
22846,房院,1
22847,高照,1
22848,路灯,1
22849,杂沓,1
22850,爆竹,1
22851,上妆,1
22852,张灯结彩,1
22853,茹,1
22854,聒耳,1
22855,眸,1
22856,御赐,1
22857,四五寸,1
22858,小洋,1
22859,玉堂富贵,1
22860,单设,1
22861,夔龙,1
22862,描金,1
22863,高架,1
22864,花瓶,1
22865,大梁,1
22866,梁上,1
22867,扭转,1
22868,窗格,1
22869,挂彩,1
22870,罩棚,1
22871,挂满,1
22872,妒富愧贫,1
22873,出局,1
22874,席下,1
22875,抽去,1
22876,交完,1
22877,赶进去,1
22878,陈腐,1
22879,腐旧,1
22880,彩斑,1
22881,银壶,1
22882,吊下,1
22883,火纸,1
22884,根生土长,1
22885,生土,1
22886,潜踪,1
22887,吨,1
22888,东去,1
22889,定准,1
22890,送终,1
22891,神风,1
22892,刚过来,1
22893,赏金,1
22894,金花,1
22895,花娘,1
22896,茶点,1
22897,矜功,1
22898,矜功自伐,1
22899,自伐,1
22900,打探,1
22901,久等,1
22902,怕水,1
22903,水冷,1
22904,热水,1
22905,薛姨娘,1
22906,手颤,1
22907,滚汤,1
22908,热菜,1
22909,弦子,1
22910,唐五代,1
22911,王公子,1
22912,赶考,1
22913,姓李,1
22914,琴棋书画,1
22915,书画,1
22916,无所不通,1
22917,佳人才子,1
22918,宰相,1
22919,绝代佳人,1
22920,满腹文章,1
22921,编书,1
22922,知书识礼,1
22923,后语,1
22924,样书,1
22925,眼下,1
22926,下巴,1
22927,下巴颏,1
22928,润嗓,1
22929,本年,1
22930,本月,1
22931,花开两朵,1
22932,两朵,1
22933,二十四孝,1
22934,斑衣戏彩,1
22935,痛痛,1
22936,剩酒,1
22937,代换,1
22938,套曲,1
22939,将军令,1
22940,拨弄,1
22941,两三张,1
22942,西向,1
22943,追欢买笑,1
22944,熬夜,1
22945,五出戏,1
22946,彩衣,1
22947,大班,1
22948,脱口,1
22949,抹脸,1
22950,上台,1
22951,玉簪记,1
22952,胡笳,1
22953,胡笳十八拍,1
22954,吹弹,1
22955,喜上眉梢,1
22956,铜钉,1
22957,花腔,1
22958,细点,1
22959,惊马,1
22960,老脸皮,1
22961,心巧嘴乖,1
22962,嘴巧,1
22963,阎王爷,1
22964,驾到,1
22965,正着,1
22966,金箍,1
22967,金箍棒,1
22968,逗人,1
22969,搭拉,1
22970,性急的人,1
22971,捍,1
22972,解酒,1
22973,花炮,1
22974,大炮,1
22975,大炮仗,1
22976,搂入,1
22977,满天星,1
22978,天星,1
22979,平地一声雷,1
22980,十响,1
22981,莲花落,1
22982,下元,1
22983,小产,1
22984,幼主,1
22985,自持,1
22986,禀赋,1
22987,争强,1
22988,斗智,1
22989,空调,1
22990,如常,1
22991,弟妹,1
22992,届,1
22993,季春,1
22994,辅仁,1
22995,正方,1
22996,多恩,1
22997,十几处,1
22998,升迁,1
22999,黜,1
23000,每于,1
23001,当权,1
23002,不当之处,1
23003,畏服,1
23004,拣择,1
23005,施行,1
23006,别支,1
23007,现查,1
23008,两笔,1
23009,笔底下,1
23010,犯法,1
23011,违礼,1
23012,尖酸刻薄,1
23013,彻底,1
23014,意表,1
23015,常例,1
23016,裁度,1
23017,拭去,1
23018,出兵,1
23019,放马,1
23020,混出,1
23021,盘膝,1
23022,挽袖,1
23023,匀脸,1
23024,吴姐姐,1
23025,耐性,1
23026,蔽,1
23027,娇客,1
23028,旁观者,1
23029,旁观者清,1
23030,饭盒,1
23031,发威,1
23032,发威动怒,1
23033,没落,1
23034,依头顺尾,1
23035,外围,1
23036,开例,1
23037,镇压,1
23038,板床,1
23039,论说,1
23040,盆儿,1
23041,可行,1
23042,狂人,1
23043,几年生,1
23044,小事儿,1
23045,三四位,1
23046,七八千,1
23047,三五千两,1
23048,收伏,1
23049,猫子,1
23050,火炕,1
23051,天悬地隔,1
23052,咱家,1
23053,正人,1
23054,协同,1
23055,抽回,1
23056,回退,1
23057,穷追,1
23058,笑里藏刀,1
23059,藏刀,1
23060,着紧,1
23061,擒贼,1
23062,擒王,1
23063,经行,1
23064,暂减,1
23065,屈一膝,1
23066,炕下,1
23067,宿弊,1
23068,小惠,1
23069,小惠全,1
23070,油脂,1
23071,重重叠叠,1
23072,重叠,1
23073,交送,1
23074,脱空,1
23075,使坏,1
23076,两起,1
23077,小园,1
23078,木花,1
23079,鱼虾,1
23080,朱夫子,1
23081,勉,1
23082,自励,1
23083,都行,1
23084,利欲,1
23085,利欲熏心,1
23086,利弊,1
23087,一个通,1
23088,通人,1
23089,子书,1
23090,利禄,1
23091,孔孟之道,1
23092,断章取意,1
23093,节目,1
23094,讲学,1
23095,流入,1
23096,入市,1
23097,成本,1
23098,园圃,1
23099,交租,1
23100,纳税,1
23101,四则,1
23102,饥馑,1
23103,专司,1
23104,其职,1
23105,以利,1
23106,陪衬,1
23107,张开,1
23108,张开嘴,1
23109,开嘴,1
23110,齿舌,1
23111,敢讲,1
23112,远愁近虑,1
23113,不亢不卑,1
23114,变好,1
23115,所累,1
23116,小利,1
23117,名单,1
23118,单交,1
23119,稻地,1
23120,交钱,1
23121,怠于,1
23122,稗,1
23123,真大,1
23124,大治,1
23125,耕,1
23126,大市,1
23127,芭,1
23128,月季,1
23129,金银花,1
23130,药铺,1
23131,老叶,1
23132,见利忘义,1
23133,用笔,1
23134,派调,1
23135,采取,1
23136,层皮,1
23137,跨过,1
23138,半分,1
23139,新创,1
23140,胭粉,1
23141,禽鸟,1
23142,四百多,1
23143,八百两,1
23144,沙地,1
23145,节用,1
23146,纲,1
23147,滋长,1
23148,抬轿,1
23149,抬轿子,1
23150,冰床,1
23151,粗重,1
23152,重活,1
23153,假公济私,1
23154,济私,1
23155,辖制,1
23156,稳吃三注,1
23157,三五回,1
23158,五回,1
23159,三四代,1
23160,四代,1
23161,循规蹈矩,1
23162,严肃,1
23163,二十四匹,1
23164,自尊,1
23165,太过谦,1
23166,分管,1
23167,同时,1
23168,时隔,1
23169,隔代,1
23170,相仿,1
23171,巧事,1
23172,拉手,1
23173,乱花,1
23174,单丝,1
23175,单丝不成线,1
23176,独树,1
23177,逃到,1
23178,列国,1
23179,国有,1
23180,蔺相如,1
23181,司马相如,1
23182,匡,1
23183,蔺,1
23184,胡搅,1
23185,必无,1
23186,远方来,1
23187,臭小子,1
23188,真性,1
23189,指说,1
23190,茶卤,1
23191,莽,1
23192,爱语,1
23193,爱语慰,1
23194,竟日,1
23195,大戏,1
23196,人母,1
23197,昨天,1
23198,昨天夜里,1
23199,病急,1
23200,病急乱投医,1
23201,投医,1
23202,大二,1
23203,自管,1
23204,刨土,1
23205,土种,1
23206,竹叶,1
23207,腮颊,1
23208,处到,1
23209,转借,1
23210,借给,1
23211,上报,1
23212,谁给了,1
23213,日前,1
23214,间断,1
23215,白话,1
23216,世代书香,1
23217,书香人家,1
23218,一头热,1
23219,眼珠儿,1
23220,津液,1
23221,液流,1
23222,上摸,1
23223,着力,1
23224,指印,1
23225,如许,1
23226,捶床捣枕,1
23227,所服,1
23228,呕出,1
23229,几阵,1
23230,捶背,1
23231,死也不放,1
23232,引出来,1
23233,熔化,1
23234,壅蔽,1
23235,祛邪,1
23236,灵丹,1
23237,开窍,1
23238,制造,1
23239,饮服,1
23240,佯狂,1
23241,心安神,1
23242,狂态,1
23243,极远,1
23244,迸出来,1
23245,连皮,1
23246,连皮带,1
23247,连皮带骨,1
23248,皮带,1
23249,四面八方,1
23250,八方,1
23251,释道,1
23252,来试,1
23253,一时一刻,1
23254,打趸儿,1
23255,三面,1
23256,几场,1
23257,一动不如一静,1
23258,不乏,1
23259,咀,1
23260,春寒,1
23261,寒秋,1
23262,秋后,1
23263,公子王孙,1
23264,朝西,1
23265,三夜,1
23266,反目,1
23267,反目成仇,1
23268,成仇,1
23269,拿主意,1
23270,为非作歹,1
23271,祝贺,1
23272,端雅,1
23273,钗荆裙布,1
23274,天生地设,1
23275,大富,1
23276,将计就计,1
23277,爱管闲事,1
23278,使命,1
23279,无可无不可,1
23280,中曾,1
23281,知遇,1
23282,酒糟,1
23283,糟透,1
23284,糟透了,1
23285,应需,1
23286,石壁,1
23287,爹妈,1
23288,买点,1
23289,点心吃,1
23290,棉衣,1
23291,后年,1
23292,煎出,1
23293,璧玉,1
23294,明细,1
23295,鼓楼,1
23296,西大街,1
23297,千里姻缘一线牵,1
23298,月下老儿,1
23299,预先注定,1
23300,根红,1
23301,出人意料,1
23302,母本,1
23303,已为,1
23304,月下老人,1
23305,红线,1
23306,反将,1
23307,属相,1
23308,相生,1
23309,四角俱全,1
23310,篇子,1
23311,令弟,1
23312,手夹,1
23313,既当,1
23314,荆轲,1
23315,聂,1
23316,阴假凤,1
23317,凰,1
23318,揆,1
23319,守制,1
23320,庶民,1
23321,祖孙,1
23322,地宫,1
23323,育,1
23324,聒,1
23325,千叮咛,1
23326,千叮咛万嘱咐,1
23327,药饵,1
23328,俨,1
23329,共出,1
23330,禁约,1
23331,应名点卯,1
23332,朝外,1
23333,踩踏,1
23334,踏下,1
23335,乘隙,1
23336,结党,1
23337,举荐,1
23338,官宦,1
23339,尽可,1
23340,领回去,1
23341,冒名,1
23342,应物,1
23343,一多,1
23344,一多半,1
23345,伯叔兄,1
23346,所愿,1
23347,老外,1
23348,老旦,1
23349,各得其所,1
23350,出笼,1
23351,一二个,1
23352,更便,1
23353,侍中,1
23354,比丘,1
23355,比丘尼,1
23356,多极,1
23357,晏,1
23358,撤回,1
23359,高傲,1
23360,挑食,1
23361,含怨,1
23362,心地狭窄,1
23363,旧怨,1
23364,下年,1
23365,后发,1
23366,各业,1
23367,种豆,1
23368,慢行,1
23369,堤上,1
23370,柳垂金,1
23371,丹霞,1
23372,稠,1
23373,仰望,1
23374,乌发,1
23375,公冶长,1
23376,恶狠,1
23377,恶狠狠,1
23378,辱没,1
23379,太兴,1
23380,错告,1
23381,还嘴,1
23382,嘴硬,1
23383,洗头,1
23384,小崽子,1
23385,挑么挑六,1
23386,咸嘴淡舌,1
23387,咬群,1
23388,一个巴掌拍不响,1
23389,不平则鸣,1
23390,何怪,1
23391,收过来,1
23392,香皂,1
23393,头绳,1
23394,学艺,1
23395,敢说话,1
23396,狼号鬼哭,1
23397,眼珠子,1
23398,羞愧难当,1
23399,难当,1
23400,敞着,1
23401,乌油油,1
23402,油油的,1
23403,成才,1
23404,干松,1
23405,食具,1
23406,淡菜,1
23407,咸菜,1
23408,鲜笋,1
23409,可信,1
23410,动嘴,1
23411,空盒,1
23412,几片,1
23413,收出,1
23414,收出去,1
23415,谎言,1
23416,叹一口气,1
23417,装糊涂,1
23418,我爱你,1
23419,每节,1
23420,称奇道绝,1
23421,能感,1
23422,飞符,1
23423,绕过去,1
23424,围护,1
23425,押后,1
23426,荣府内,1
23427,中土,1
23428,微雨,1
23429,同莺儿,1
23430,过梁,1
23431,满布,1
23432,这篮,1
23433,手巧,1
23434,编起,1
23435,编起来,1
23436,再快,1
23437,正编,1
23438,告成,1
23439,无价,1
23440,无价宝,1
23441,鱼眼,1
23442,真不错,1
23443,分到,1
23444,乱动,1
